epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.3590330792623654,0.3095902773466977,0.882183908045977,0.0,0.0,0.0
2,0.33957515395524207,0.3430788232521577,0.8850574712643678,1.0,0.024390243902439025,0.047619047619047616
3,0.32794755945603055,0.3171706727959893,0.882183908045977,0.5,0.07317073170731707,0.1276595744680851
4,0.317116981797051,0.30523964898152783,0.8908045977011494,0.5882352941176471,0.24390243902439024,0.3448275862068965
5,0.3074609479752549,0.28328332846814935,0.9022988505747126,0.7058823529411765,0.2926829268292683,0.41379310344827586
6,0.3045892992563415,0.26389575241641566,0.896551724137931,0.6923076923076923,0.21951219512195122,0.3333333333333333
7,0.29866805110584227,0.2684429958462715,0.8994252873563219,0.625,0.36585365853658536,0.4615384615384615
8,0.2962051599956395,0.27545159445567563,0.8850574712643678,0.6,0.07317073170731707,0.13043478260869565
9,0.29274765362865046,0.26804391565647995,0.9051724137931034,0.6538461538461539,0.4146341463414634,0.5074626865671641
10,0.2998449549471077,0.2743894390084527,0.9022988505747126,0.6521739130434783,0.36585365853658536,0.46874999999999994
11,0.29371721009936247,0.2696456936272708,0.8850574712643678,0.5555555555555556,0.12195121951219512,0.2
12,0.29314861701507317,0.2734924446452748,0.8936781609195402,0.5555555555555556,0.4878048780487805,0.5194805194805195
13,0.2908058416817272,0.26009688594124536,0.8994252873563219,0.6666666666666666,0.2926829268292683,0.4067796610169492
14,0.29002423604068,0.26086804507808253,0.896551724137931,0.6923076923076923,0.21951219512195122,0.3333333333333333
15,0.2813664134265038,0.3143176097761501,0.8879310344827587,0.5208333333333334,0.6097560975609756,0.5617977528089888
16,0.28239241216266364,0.376218629154292,0.8620689655172413,0.4461538461538462,0.7073170731707317,0.5471698113207548
17,0.2803270671712725,0.2598063207485459,0.8994252873563219,0.59375,0.4634146341463415,0.5205479452054794
18,0.27897535355990394,0.2498586204918948,0.8994252873563219,0.7142857142857143,0.24390243902439024,0.36363636363636365
19,0.2783355078937715,0.32248463143001904,0.8908045977011494,0.5294117647058824,0.6585365853658537,0.5869565217391304
20,0.27919726799193184,0.28059952570633456,0.8879310344827587,0.5208333333333334,0.6097560975609756,0.5617977528089888
21,0.27905930232322007,0.27442971075123007,0.9051724137931034,0.625,0.4878048780487805,0.547945205479452
22,0.2768229186012034,0.2752501307563348,0.9022988505747126,0.6060606060606061,0.4878048780487805,0.5405405405405406
23,0.26926576359230175,0.2600159374150363,0.9080459770114943,0.6666666666666666,0.43902439024390244,0.5294117647058824
24,0.2736016181215905,0.39541155548596923,0.8850574712643678,1.0,0.024390243902439025,0.047619047619047616
25,0.26436380048592883,0.2861208522861654,0.9080459770114943,0.6216216216216216,0.5609756097560976,0.5897435897435899
