epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.32389531382604647,0.2736096768216653,0.9195402298850575,0.0,0.0,0.0
2,0.28160153701901436,0.2786813595078208,0.9195402298850575,0.0,0.0,0.0
3,0.28153132059072195,0.27218887209892273,0.9195402298850575,0.0,0.0,0.0
4,0.277628363159142,0.2843706174330278,0.9195402298850575,0.0,0.0,0.0
5,0.27986693271158036,0.28141018748283386,0.9195402298850575,0.0,0.0,0.0
6,0.2770026784324855,0.2641101323745467,0.9195402298850575,0.0,0.0,0.0
7,0.275046049437502,0.26664433763785794,0.9195402298850575,0.0,0.0,0.0
8,0.27255138839807425,0.26145494458350266,0.9195402298850575,0.0,0.0,0.0
9,0.27376343407913256,0.2975208244540475,0.9195402298850575,0.0,0.0,0.0
10,0.2752112345933391,0.26130933517759497,0.9195402298850575,0.0,0.0,0.0
11,0.27254918459476085,0.27595149116082623,0.9195402298850575,0.0,0.0,0.0
12,0.26915153802225467,0.2676912939006632,0.9195402298850575,0.0,0.0,0.0
13,0.2670859157254821,0.2587787874720313,0.9195402298850575,0.0,0.0,0.0
14,0.2642961384957297,0.2777960666201331,0.9195402298850575,0.0,0.0,0.0
15,0.26386727078964833,0.2883181043646552,0.9195402298850575,0.0,0.0,0.0
16,0.26301208367211776,0.2525272992524234,0.9195402298850575,0.0,0.0,0.0
17,0.25852870535955097,0.2570221187038855,0.9195402298850575,0.0,0.0,0.0
18,0.25989875524190437,0.2521053810011257,0.9195402298850575,0.0,0.0,0.0
19,0.2582443610748701,0.265912802381949,0.9195402298850575,0.0,0.0,0.0
20,0.2588195412566787,0.25250058282505383,0.9195402298850575,0.0,0.0,0.0
21,0.2512756995856762,0.2627274827523665,0.9195402298850575,0.0,0.0,0.0
22,0.24845336488725847,0.26433655890551483,0.9224137931034483,0.6666666666666666,0.07142857142857142,0.12903225806451613
23,0.25178433373047593,0.25490896877917374,0.9166666666666666,0.0,0.0,0.0
24,0.24919215867524608,0.2425424036654559,0.9195402298850575,0.0,0.0,0.0
25,0.23950975247773162,0.3147030364383351,0.8879310344827587,0.21052631578947367,0.14285714285714285,0.1702127659574468
