epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.33302623830866396,0.2068530090830543,0.9454022988505747,0.0,0.0,0.0
2,0.274405000633315,0.19325736639174548,0.9454022988505747,0.0,0.0,0.0
3,0.2656128184967919,0.1679849143732678,0.9454022988505747,0.0,0.0,0.0
4,0.25983570633750214,0.22943404181437058,0.9425287356321839,0.0,0.0,0.0
5,0.25877637671012627,0.193664088845253,0.9454022988505747,0.0,0.0,0.0
6,0.25312004996496335,0.19298976117914374,0.9454022988505747,0.0,0.0,0.0
7,0.24833580753520915,0.21085118773308667,0.9482758620689655,0.6666666666666666,0.10526315789473684,0.18181818181818182
8,0.2562630076549555,0.16786587983369827,0.9454022988505747,0.0,0.0,0.0
9,0.2430793661950973,0.1953454085371711,0.9396551724137931,0.3333333333333333,0.10526315789473684,0.16
10,0.23785440970146865,0.14916761693629352,0.9454022988505747,0.0,0.0,0.0
11,0.23444872601121142,0.20486931773749265,0.9339080459770115,0.3,0.15789473684210525,0.20689655172413793
12,0.23275756273876158,0.15101501379500737,0.9454022988505747,0.0,0.0,0.0
13,0.23108932408585883,0.20778783613985236,0.9224137931034483,0.16666666666666666,0.10526315789473684,0.12903225806451615
14,0.22285145312024837,0.15034132518551566,0.9454022988505747,0.0,0.0,0.0
15,0.22447807465990385,0.16190954704176297,0.9454022988505747,0.5,0.05263157894736842,0.09523809523809525
16,0.21865005444800645,0.19971771131862293,0.9195402298850575,0.23529411764705882,0.21052631578947367,0.2222222222222222
17,0.21319951783669622,0.15632292662154545,0.9482758620689655,1.0,0.05263157894736842,0.1
18,0.21684122654168228,0.3899642676115036,0.7816091954022989,0.1566265060240964,0.6842105263157895,0.2549019607843137
19,0.21587142220845348,0.1526795459741896,0.9310344827586207,0.2222222222222222,0.10526315789473684,0.14285714285714285
20,0.21564385883117976,0.18126488544724204,0.9224137931034483,0.2777777777777778,0.2631578947368421,0.27027027027027023
21,0.21326566013719953,0.19880307872187009,0.9137931034482759,0.2608695652173913,0.3157894736842105,0.28571428571428575
22,0.21213193100533986,0.24380501833829013,0.896551724137931,0.2926829268292683,0.631578947368421,0.39999999999999997
23,0.20522036537397326,0.17282273959029804,0.9195402298850575,0.30434782608695654,0.3684210526315789,0.3333333333333333
24,0.19694080439053083,0.14020832966674457,0.9425287356321839,0.3333333333333333,0.05263157894736842,0.09090909090909091
25,0.19279777863177291,0.28459604355421936,0.8735632183908046,0.2222222222222222,0.5263157894736842,0.3125
