epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.30234195357351973,0.3372358652678403,0.8936781609195402,0.0,0.0,0.0
2,0.27154696954969776,0.3479026745666157,0.8936781609195402,0.0,0.0,0.0
3,0.27176791553695995,0.3372318148612976,0.8936781609195402,0.0,0.0,0.0
4,0.2683542851816144,0.3312761234966191,0.8936781609195402,0.0,0.0,0.0
5,0.26678483815569626,0.3210824836384166,0.8936781609195402,0.0,0.0,0.0
6,0.2637210562825203,0.3179047480225563,0.8936781609195402,0.0,0.0,0.0
7,0.26484713762214307,0.3315601037307219,0.8936781609195402,0.0,0.0,0.0
8,0.26439476006648,0.32561973888765683,0.8936781609195402,0.0,0.0,0.0
9,0.25739006404029696,0.32404792376539926,0.8936781609195402,0.0,0.0,0.0
10,0.2578135819680858,0.31958229772069235,0.8936781609195402,0.0,0.0,0.0
11,0.26159436170730677,0.30407423796978866,0.896551724137931,0.6666666666666666,0.05405405405405406,0.1
12,0.25851704042993096,0.3298803032799201,0.8936781609195402,0.5,0.02702702702702703,0.05128205128205129
13,0.2559423771474445,0.3482330563393506,0.8936781609195402,0.0,0.0,0.0
14,0.2599258467620402,0.3343515382571654,0.8936781609195402,0.5,0.02702702702702703,0.05128205128205129
15,0.24994077879870147,0.3216019774025137,0.8994252873563219,0.5833333333333334,0.1891891891891892,0.28571428571428575
16,0.24824968754853072,0.3296227407726375,0.896551724137931,1.0,0.02702702702702703,0.052631578947368425
17,0.24659329195294463,0.3183925341476094,0.896551724137931,1.0,0.02702702702702703,0.052631578947368425
18,0.2464774484958565,0.3202053572643887,0.896551724137931,1.0,0.02702702702702703,0.052631578947368425
19,0.24537183958710285,0.32198304953900253,0.9022988505747126,1.0,0.08108108108108109,0.15
20,0.24474183084410533,0.31313185732473026,0.8936781609195402,0.5,0.02702702702702703,0.05128205128205129
21,0.24569825948983953,0.31543549827554007,0.9022988505747126,1.0,0.08108108108108109,0.15
22,0.24112327932788616,0.31719784574075177,0.8994252873563219,0.6666666666666666,0.10810810810810811,0.18604651162790697
23,0.2407852824319873,0.32382957264781,0.896551724137931,1.0,0.02702702702702703,0.052631578947368425
24,0.2409332476948437,0.3079802058637142,0.9022988505747126,1.0,0.08108108108108109,0.15
25,0.24348587516629905,0.3153616860508919,0.9051724137931034,0.8333333333333334,0.13513513513513514,0.23255813953488372
